,stork_migration_id,migration_id,timestamp,date,location-long,location-lat,area_type
0,3075_pl_afr_1,pl_afr_1,2013-07-16 05:46:27.000,2013-07-16 05:46:27.000,15.187746,51.750439,green_land
1,3056_pl_afr_1,pl_afr_1,2013-07-16 06:55:47.000,2013-07-16 06:55:47.000,15.0564727,51.7635277,green_land
2,3056_pl_afr_1,pl_afr_1,2013-07-16 07:40:06.000,2013-07-16 07:40:06.000,15.0563958,51.7634894,green_land
3,3056_pl_afr_1,pl_afr_1,2013-07-16 09:00:06.000,2013-07-16 09:00:06.000,15.0566329,51.7634678,green_land
4,3075_pl_afr_1,pl_afr_1,2013-07-16 10:30:11.000,2013-07-16 10:30:11.000,15.1878505,51.7503178,green_land
5,3056_pl_afr_1,pl_afr_1,2013-07-16 12:00:06.000,2013-07-16 12:00:06.000,15.0564333,51.7634921,green_land
6,3050_pl_afr_1,pl_afr_1,2013-07-16 12:30:07.000,2013-07-16 12:30:07.000,15.6376132,52.0921422,developed_land
7,3048_pl_afr_1,pl_afr_1,2013-07-16 13:05:07.000,2013-07-16 13:05:07.000,15.6375155,52.0921922,developed_land
8,3048_pl_afr_1,pl_afr_1,2013-07-16 13:35:07.000,2013-07-16 13:35:07.000,15.6376264,52.0921374,developed_land
9,3048_pl_afr_1,pl_afr_1,2013-07-16 14:05:07.000,2013-07-16 14:05:07.000,15.6374124,52.0921317,developed_land
10,3048_pl_afr_1,pl_afr_1,2013-07-16 14:35:08.000,2013-07-16 14:35:08.000,15.6377308,52.0921755,developed_land
11,3048_pl_afr_1,pl_afr_1,2013-07-16 15:10:07.000,2013-07-16 15:10:07.000,15.6374887,52.092136,developed_land
12,3048_pl_afr_1,pl_afr_1,2013-07-16 15:40:07.000,2013-07-16 15:40:07.000,15.6375289,52.0921668,developed_land
13,3050_pl_afr_1,pl_afr_1,2013-07-16 16:10:07.000,2013-07-16 16:10:07.000,15.6376118,52.0922256,developed_land
14,3050_pl_afr_1,pl_afr_1,2013-07-16 16:40:08.000,2013-07-16 16:40:08.000,15.6376296,52.0921684,developed_land
15,3048_pl_afr_1,pl_afr_1,2013-07-16 17:10:08.000,2013-07-16 17:10:08.000,15.6376503,52.0921084,developed_land
16,3048_pl_afr_1,pl_afr_1,2013-07-16 17:40:08.000,2013-07-16 17:40:08.000,15.6376115,52.0921077,developed_land
