,stork_migration_id,timestamp,date,location-long,location-lat
716090,4559_pl_afr_5,2015-07-03 06:25:07.000,2015-07-03 06:25:07.000,22.4822315,53.2299316
716091,4559_pl_afr_5,2015-07-03 06:30:07.000,2015-07-03 06:30:07.000,22.4822697,53.2299862
716092,4559_pl_afr_5,2015-07-03 06:35:07.000,2015-07-03 06:35:07.000,22.4822456,53.2299196
716093,4559_pl_afr_5,2015-07-03 06:40:08.000,2015-07-03 06:40:08.000,22.4821496,53.2299005
716094,4559_pl_afr_5,2015-07-03 06:45:07.000,2015-07-03 06:45:07.000,22.4822729,53.2299595
716095,4559_pl_afr_5,2015-07-03 06:50:07.000,2015-07-03 06:50:07.000,22.4822066,53.229925
716096,4559_pl_afr_5,2015-07-03 06:55:08.000,2015-07-03 06:55:08.000,22.4822643,53.2299636
716097,4559_pl_afr_5,2015-07-03 07:00:10.000,2015-07-03 07:00:10.000,22.4824204,53.230113
716098,4559_pl_afr_5,2015-07-03 07:00:10.000,2015-07-03 07:00:10.000,22.4824204,53.230113
716099,4559_pl_afr_5,2015-07-03 07:05:09.000,2015-07-03 07:05:09.000,22.4822789,53.2299773
716100,4559_pl_afr_5,2015-07-03 07:10:08.000,2015-07-03 07:10:08.000,22.4822619,53.2299967
716101,4559_pl_afr_5,2015-07-03 07:15:10.000,2015-07-03 07:15:10.000,22.4820821,53.2298446
716102,4559_pl_afr_5,2015-07-03 07:20:08.000,2015-07-03 07:20:08.000,22.4823916,53.2300009
716103,4559_pl_afr_5,2015-07-03 07:25:07.000,2015-07-03 07:25:07.000,22.4822549,53.2299675
716104,4559_pl_afr_5,2015-07-03 07:30:09.000,2015-07-03 07:30:09.000,22.4821852,53.2301945
716105,4559_pl_afr_5,2015-07-03 07:35:12.000,2015-07-03 07:35:12.000,22.4822355,53.2300492
716106,4559_pl_afr_5,2015-07-03 07:40:07.000,2015-07-03 07:40:07.000,22.4822584,53.2299512
716107,4559_pl_afr_5,2015-07-03 07:45:23.000,2015-07-03 07:45:23.000,22.4822189,53.2299924
716108,4559_pl_afr_5,2015-07-03 07:50:08.000,2015-07-03 07:50:08.000,22.4821719,53.2300335
716109,4559_pl_afr_5,2015-07-03 07:55:06.000,2015-07-03 07:55:06.000,22.4822497,53.230045
716110,4559_pl_afr_5,2015-07-03 08:00:08.000,2015-07-03 08:00:08.000,22.4821999,53.2298394
716111,4559_pl_afr_5,2015-07-03 08:00:08.000,2015-07-03 08:00:08.000,22.4821999,53.2298394
716112,4559_pl_afr_5,2015-07-03 08:05:23.000,2015-07-03 08:05:23.000,22.4821814,53.2299699
716113,4559_pl_afr_5,2015-07-03 08:10:07.000,2015-07-03 08:10:07.000,22.4822331,53.2299461
716114,4559_pl_afr_5,2015-07-03 08:15:07.000,2015-07-03 08:15:07.000,22.4822188,53.2299819
716115,4559_pl_afr_5,2015-07-03 08:20:07.000,2015-07-03 08:20:07.000,22.4822007,53.2299973
716116,4559_pl_afr_5,2015-07-03 08:25:08.000,2015-07-03 08:25:08.000,22.4821999,53.230005
