,stork_migration_id,migration_id,timestamp,date,location-long,location-lat,area_type
49,3959_pl_afr_3,pl_afr_3,2014-07-02 08:35:06.000,2014-07-02 08:35:06,22.4822422,53.2299507,green_land
50,3958_pl_afr_3,pl_afr_3,2014-07-02 09:05:06.000,2014-07-02 09:05:06,22.4822233,53.2299608,green_land
51,3955_pl_afr_3,pl_afr_3,2014-07-02 09:35:06.000,2014-07-02 09:35:06,22.48711,53.230556,green_land
52,3956_pl_afr_3,pl_afr_3,2014-07-02 10:05:07.000,2014-07-02 10:05:07,22.4845918,53.2302663,green_land
53,3954_pl_afr_3,pl_afr_3,2014-07-02 10:35:07.000,2014-07-02 10:35:07,22.487097,53.2305816,green_land
54,3957_pl_afr_3,pl_afr_3,2014-07-02 11:05:07.000,2014-07-02 11:05:07,22.4846188,53.2303384,green_land
55,3951_pl_afr_3,pl_afr_3,2014-07-02 11:35:07.000,2014-07-02 11:35:07,22.5561137,53.2313118,rural
56,3952_pl_afr_3,pl_afr_3,2014-07-02 12:05:07.000,2014-07-02 12:05:07,22.5561172,53.2311181,rural
57,3950_pl_afr_3,pl_afr_3,2014-07-02 12:35:07.000,2014-07-02 12:35:07,22.5555752,53.2315644,rural
58,3953_pl_afr_3,pl_afr_3,2014-07-02 13:05:07.000,2014-07-02 13:05:07,22.556126,53.2310923,rural
59,3956_pl_afr_3,pl_afr_3,2014-07-02 13:35:07.000,2014-07-02 13:35:07,22.4845183,53.2302455,green_land
60,3951_pl_afr_3,pl_afr_3,2014-07-02 14:05:07.000,2014-07-02 14:05:07,22.5560906,53.2312884,rural
61,3951_pl_afr_3,pl_afr_3,2014-07-02 14:35:07.000,2014-07-02 14:35:07,22.5560688,53.231332,rural
62,3953_pl_afr_3,pl_afr_3,2014-07-02 15:05:07.000,2014-07-02 15:05:07,22.5560623,53.2311379,rural
63,3954_pl_afr_3,pl_afr_3,2014-07-02 15:35:07.000,2014-07-02 15:35:07,22.4870673,53.2305575,green_land
